情感分数 = 13.280001	ۋاھ=E=ۋاھ بەك=D=بەك ياخشى=A=ياخشى يېزىپسىز=V=يېزىش تېخمۇ=D=تېخ كۆپ=A=كۆپ مۇشۇنداق=P=مۇشۇ ياخشى=A=ياخشى ماقالىلارنى=N=ماقالە ۋە=R=ۋە ئۇچۇرلارنى=N=ئۇچۇر ئەۋەتىپ=V=ئەۋەت تورداشلارنىڭ=N=تورداش قىزغىنلىقىنى=N=قىزغىن ئاشۇرۇشىڭىزنى=V=ئاشۇر ئۈمىد=N=ئۈمىد قىلىمەن=V=قىل
情感分数 = 11.14	سالام=N=سالام بىرىنچى=M=بىرىنچى ئىيۇن=N=ئىيۇن سالام=N=سالام ئوماق=A=ئوماق بالىلار=N=بالا قۇتلۇق=N=قۇتلۇق بايرىمىڭلارغا=N=بايرام مۇبارەك=N=مۇبارەك بولسۇن=V=بول
情感分数 = 10.139999	ئوھۇي=E=ئوھۇي ئۇلار=P=ئۇلار ئەنئەنىۋىي=N=ئەنئەنە چاۋشيەن=N=چاۋشيەن مۇزىكىلىرى=N=مۇزىكا ۋە=R=ۋە ۋەتەنپەرۋەرلىك=N=ۋەتەنپەرۋەر ناخشىلىرىنى=N=ناخشا ئورۇنداپلا=V=ئورۇندا قالماستىن=V=قال بەلكى=R=بەلكى يەنە=R=يەنە غەربنىڭ=N=غەرب نۇرغۇن=A=نۇرغۇن كلاسسىك=A=كلاسسىك مۇزىكىلىرىنى=N=مۇزىكا ئورۇندايدىكەن=V=ئورۇندا
情感分数 = 10.0	مەڭگۈ=D=مەڭگۈ شۇلارنىڭ=P=شۇ بالىسىنى=N=بالا بېقىپ=V=باق مەڭگۈ=D=مەڭگۈ توي=N=توي قىلماي=V=قىل ئۆتمەكچىمۇ=V=ئۆتمەكچى سەن=P=سەن ؟=V=؟
情感分数 = 9.0	پاھ=E=پاھ پاھ=E=پاھ بۇ=P=بۇ يەرگە=N=يەر بۇغداي=N=بۇغداي تېرىلغىنى=V=تېرىش خويمۇ=D=خويمۇ ئوبدان=A=ئوبدان بوپتۇ=V=بول
情感分数 = 9.0	پاھ=E=پاھ پاھ=E=پاھ راسا=D=راسا ئوخشىغان=V=ئوخشا تاۋۇز=N=تاۋۇز ئىكەندە=V=ئىكەن
情感分数 = 8.139999	ۋاھ=E=ۋاھ نېمانداق=D=نېمانداق ئوماق=A=ئوماق قەلەمتىراچ=N=قەلەمتىراچ بۇ=P=بۇ راستلا=A=راست ماڭا=P=ماڭا سوۋغا=N=سوۋغا قىلدىڭىزمۇ=V=قىل ؟=N=؟
情感分数 = 8.139999	سىلەر=P=سىلەر شىنجاڭنىڭ=N=شىنجاڭ ئىقتىسادىي=A=ئىقتىسادىي تەرەققىياتىغا=N=تەرەققىيات ناھايىتى=D=ناھايىتى زور=A=زور تۆھپە=N=تۆھپە قوشتۇڭلار=V=قوش
情感分数 = 8.0	ۋوۋ=E=ۋوۋ بالىلار=N=بالا ئەمىسە=T=ئەمىسە ياخشى=A=ياخشى كەپسىلە=N=كەل كۆڭۈللۈك=A=كۆڭۈللۈك ئويناپ=V=ئوينا خۇشال=A=خۇشال خورام=N=خورا قايتىشىڭلارنى=N=قايت ئۈمىد=N=ئۈمىد قىلىمەن=V=قىل
情感分数 = 8.0	بۇ=P=بۇ قېتىمقى=A=قېتىم ئالتۇن=N=ئالتۇن ھەپتىدە=N=ھەپتە ئاپتونوم=N=ئاپتونوم رايونىمىزنىڭ=N=رايون ساياھەت=N=ساياھەت بىخەتەرلىك=N=بىخەتەر ۋەزىيىتى=N=ۋەزىيەت ئومۇميۈزلۈك=A=ئومۇميۈز ياخشى=A=ياخشى بولدى=V=بول
情感分数 = 8.0	ئوھۇي=E=ئوھۇي ئۆينىڭ=N=ئۆي ئىچى=N=ئىچ پاكىز=A=پاكىز ھەم=R=ھەم چىرايلىق=A=چىرايلىق بولۇپ=V=بول كىشىگە=N=كىشى ھۇزۇر=N=ھۇزۇر بەخش=N=بەخش ئېتىدىكەن=V=ئەت
情感分数 = 7.85	جۇڭگولۇقلار=N=جۇڭگولۇق بەك=D=بەك ئالىيجاناپكەن=A=ئالىيجاناپ بەك=D=بەك كەڭ=A=كەڭ قورساقكەن=N=قورساق
情感分数 = 7.28	پاھ=E=پاھ پاھ=E=پاھ بۇ=P=بۇ مەكتەپ=N=مەكتەپ ئەجەپ=D=ئەجەپ چىرايلىق=A=چىرايلىق گۈزەللىشىپ=V=گۈزەل كېتىپتۇ=V=كەت
情感分数 = 7.2799997	سېنىڭ=P=سەن شەخسىيەتسىزلىك=V=شەخسىيەتسىز بىلەن=R=بىلەن قىلغان=V=قىل ياردىمىڭدىن=N=ياردەم تولىمۇ=D=تولىمۇ مىننەتدار=N=مىننەتدار بولدۇم=V=بول ئاداش=N=ئاداش
情感分数 = 7.0	قولۇڭ=N=قول گۈل=N=گۈل جۇمۇ=T=جۇمۇ سىنىڭ=P=سەن ئەتكەن=V=ئەت تامىقىڭ=N=تاماق بەك=D=بەك ئوخشاپتۇ=V=ئوخشا
情感分数 = 7.0	ئايتىللا=N=ئايتىل چۈشتە=N=چۈش مىنى=P=مەن مېھمان=N=مېھمان قىلدىغان=V=قىل بولدى=V=بول ئەجەپ=D=ئەجەپ ياخشى=A=ياخشى
情感分数 = 7.0	﻿ئۇ=P=ئۇ ناھايىتى=D=ناھايىتى مىھرىبان=N=مىھرىبان ئوڭلۇق=A=ئوڭلۇق قىزكەن=N=قىز
情感分数 = 7.0	شىنجاڭ=N=شىنجاڭ داشۆ=N=داشۆ فىزىكا=N=فىزىكا فاكۇلتېتىنىڭ=N=فاكۇلتېت ياش=A=ياش ئوقۇتقۇچىسى=N=ئوقۇتقۇچى ئەركىن=A=ئەركىن سىدىقنى=N=سىدىق ئۇچراتقانلىقىم=V=ئۇچرات ئۈچۈن=C=ئۈچۈن ناھايىتى=D=ناھايىتى خۇشال=A=خۇشال بولدۇم=V=بول
情感分数 = 7.0	بۇ=P=بۇ نەقەدەر=E=نەقەدەر ئالىيجاناب=A=ئالىيجاناب روھ=N=روھ ھە=T=ھە
情感分数 = 6.85	پاھ=E=پاھ پاھ=E=پاھ بۇ=P=بۇ يەرنىڭ=N=يەر ھاۋاسى=N=ھاۋا ناھايىتى=D=ناھايىتى ساپكەن=A=ساپ
情感分数 = 6.14	ھەقىقەتەن=D=ھەقىقەت مەنىلىك=A=مەنا ئىكەن=V=ئىكەن
情感分数 = 6.14	ئوھۇي=E=ئوھۇي گۈزەل=A=گۈزەل قىزىم=N=قىز بۈگۈن=M=بۈگۈن بەك=D=بەك چىرايلىق=A=چىرايلىق بوپ=V=بول كىتىپسەن=V=كەت جۇمۇ=T=جۇمۇ
情感分数 = 6.14	ئاجايىپ=A=ئاجايىپ گەپ=N=گەپ بولدى=V=بول سىز=P=سىز ھەقىقەتەن=D=ھەقىقەت تالانت=N=تالانت ئىگىسى=N=ئىگە ئىكەنسىز=V=ئىكەن
情感分数 = 6.14	بۇ=P=بۇ ئادەمگەرچىلىكنى=N=ئادەمگەرچىلىك گۇەنيۇيگە=N=گۇەنيۇي قالدۇرساق=V=قالدۇر بۇمۇ=P=بۇ ناھايىتى=D=ناھايىتى ياخشى=A=ياخشى ئىش=N=ئىش بولىدۇ=V=بول
情感分数 = 6.14	مەن=P=مەن مۇشۇنداق=P=مۇشۇنداق كىچىك=A=كىچىك گۈللەرگە=N=گۈل بەك=D=بەك ئامراق=A=ئامراق
情感分数 = 6.14	بۇ=P=بۇ كىنو=N=كىنو ھەقىقەتەن=D=ھەقىقەت بەك=D=بەك پەيزى=N=پەيزى ئىكەن=V=ئىكەن
情感分数 = 6.14	ئەنۋەر=N=ئەنۋەر ئەپەندى=N=ئەپەندى زاھىر=N=زاھىر بۇرھانغا=N=بۇرھان يازغان=V=ياز بۇ=P=بۇ يازمىڭىز=N=يازما گەرچە=R=گەرچە قىسقا=A=قىسقا بولسىمۇ=V=بول مىنى=P=مەن ھەقىقەتەن=D=ھەقىقەت قايىل=A=قايىل قىلدى=V=قىل
情感分数 = 6.14	بۇ=P=بۇ يەر=N=يەر ھەقىقەتەن=D=ھەقىقەت بەك=D=بەك چىرايلىق=A=چىرايلىق ئىكەن=V=ئىكەن جۇمۇ=T=جۇمۇ
情感分数 = 6.14	جىنىم=N=جىن ئوغلۇم=N=ئوغۇل مەندىن=P=مەن رازى=N=رازى بول=V=بول چوقۇم=D=چوقۇم ياخشى=A=ياخشى بولۇپ=V=بول كىتىسەن=V=كەت
情感分数 = 6.0	دوستۇم=N=دوست ئەنۋەر=N=ئەنۋەر ئاتا-ئاناڭدىن=N=ئاتا-ئانا ئۇككىلىرىڭدىن=N=ئۇكا خاتىرجەم=A=خاتىرجەم بولغىن=V=بول ئۇلار=P=ئۇلار بۇرۇنقىدەكلا=A=بۇرۇنقى ياخشى=A=ياخشى تۇرۋاتىدۇ=V=تۇر
情感分数 = 6.0	ياخشى=A=ياخشى ئەمىسە=T=ئەمىسە مېنى=P=مەن يېڭى=A=يېڭى دەۋىر=N=دەۋىر مارۇژنىسى=N=مارۇژنا بىلەن=R=بىلەن مىھمان=N=مىھمان قىلىسەن=V=قىل ھە=T=ھە ؟=N=؟
