情感分数 = 20.0	ئاتا=N=ئاتا ئەڭ=D=ئەڭ تونۇشلۇق=A=تونۇشلۇق ۋە=C=ۋە ئەڭ=D=ئەڭ ئۇلۇغ=A=ئۇلۇغ ئانا=N=ئانا بولسا=V=بول ئەڭ=D=ئەڭ تەلەپچان=A=تەلەپچان ۋە=C=ۋە ئەڭ=D=ئەڭ مېھرىبان=A=مېھرىبان
情感分数 = 16.0	قار=N=قار قۇياشنىڭ=N=قۇياش مەڭزىگە=N=مەڭزى سۆيۈپ=V=سۆي قويالىغانلىقى=V=قوي ئۈچۈن=C=ئۈچۈن شۇنچە=P=شۇنچە گۈزەل=A=گۈزەل  ۋە=C=ۋە شۇنچە=P=شۇنچە يېقىشلىق=A=يېقىشلىق  مەن=P=مەن قاردىنمۇ=N=قار ئوماق=A=ئوماق ۋە=C=ۋە ئۇنىڭدىنمۇ=P=ئۇ گۈزەل=A=گۈزەل  ھارارەتلىك=A=ھارارەتلىك  چۈنكى=C=چۈنكى مېنىڭ=P=ما قۇياشتىنمۇ=N=قۇياش ھارارەتلىك=A=ھارارەتلىك ئانام=N=ئانا بار=A=بار 
情感分数 = 15.14	يەنە=D=يەنە تالاشمايلى=V=تالاش قىسقا=A=قىسقا پاساھەتلىك=A=پاساھەتلىك سۆزلەر=N=سۆز بىلەن=R=بىلەن مەقسىتىمىزنى=N=مەقسەت تېخىمۇ=D=تېخىمۇ ۋايىغا=A=ۋايىغا يەتكۈزۈپ=V=يەت ئېسىل=A=ئېسىل دۇردانىلەرنى=A=دۇردانە يېزىپ=V=ياز چىقالايمىز=V=چىق ھەرپ=N=ھەرپ بەك=D=بەك مۇۋاپىق=A=مۇۋاپىق
情感分数 = 14.0	قامۇس=N=قامۇس بېتى=N=بەت يېڭىلىنىپ=V=يېڭىلىنىپ بەك=D=بەك ياخشى=A=ياخشى ئىش=N=ئىش بوپتۇ=V=بول  ماڭا=P=ماڭ ئەڭ=D=ئەڭ يارىغان=V=يارىغان يېرى=N=يەر كۆرۈنمە=N=كۆرۈنمە يۈزى=N=يۈزى بەك=D=بەك راھەت=A=راھەت  يېقىشلىق=A=يېقىشلىق بوپتۇ=V=بول  تېخىمۇ=D=تېخىمۇ ئاددىيلىشىپتۇ=V=ئاددىيلىشىپتۇ 
情感分数 = 13.71	جەمەتىمىزدىكى=N=جەمەت ئاشۇ=P=ئاشۇ بىر-بىرىدىن=V=بىر-بىرىدىن ئىقتىدارلىق=A=ئىقتىدارلىق  چىرايلىق=A=چىرايلىق  ئۈمىدۋار=A=ئۈمىدۋار  مىھرىبان=A=مىھرىبان  دىيانەتلىك=A=دىيانەتلىك ھەم=C=ھەم قائىدە-يوسۇنلۇق=A=قائىدە-يوسۇنلۇق قىزلاردىن=N=قىز شۇنچە=P=شۇنچە ئۆگەنسەممۇ=V=ئۆگەن ئۇخشاش=N=ئۇخشاش بۇلالمايۋاتىمەن=V=بۇل دېسە=V=دە
情感分数 = 13.0	بىرەر=M=بىرەر ئەتىنى=V=ئەتە بۇنداق=P=بۇنداق ھاياجان=A=ھاياجان بىلەن=R=بىلەن ساقلاپ=V=ساقلا باققىنىمنى=V=باققان ئەسلىيەلمەيمەن=V=ئەسلە  مەيلى=N=مەيلى قانداقلا=P=قانداق بولمىسۇن=V=بول مېنى=P=ما چوقۇم=D=چوقۇم ۋە=C=ۋە چوقۇم=D=چوقۇم يېڭى=A=يېڭى بىر=M=بىر باشلىنىش=N=باشلىنىش ساقلاپ=V=ساقلا تۇرغانلىقى=V=تۇر ئېنىق=A=ئېنىق 
情感分数 = 12.700001	ئۇيغۇر=N=ئۇيغۇر يېزىقىنىڭ=N=يېزىق نەقەدەر=D=نەقەدەر گۈزەللىكىنى=A=گۈزەللىك تېخىمۇ=D=تېخىمۇ چوڭقۇر=A=چوڭقۇر ھېس=N=ھېس قىلىۋاتىمەن=V=قىل خەت=N=خەت نۇسخىسى=N=نۇسخا بەك=D=بەك چىرايلىقكەن=A=چىرايلىق
情感分数 = 12.559999	كېچىكىپ=V=كېچىكىپ بولسىمۇ=V=بول بارچە=P=بارچە قېرىنداشلىرىمنىڭ=N=قېرىنداش نورۇز=N=نورۇز بايرىمىنى=N=بايرام مۇبارەكلەيمەن=V=مۇبارەكلە  ئۇلۇغ=A=ئۇلۇغ ئاللاھ=N=ئاللاھ يۇرتىمىزغا=N=يۇرت بەركەت=A=بەركەت ئاسايىشلىق=A=ئاسايىشلىق قەۋم=N=قەۋم قېرىنداشلىرىمىزغا=N=قېرىنداش بەخت=A=بەخت سائادەت=A=سائادەت  ساقلىق=A=ساقلىق خاتىرجەملىكنى=A=خاتىرجەملىك بەرسۇن=V=بەر 
情感分数 = 12.139999	مېڭىسىنىڭ=N=مېڭە ئوچۇق=A=ئوچۇق زېرەك=A=زېرەك ۋاقتىدا=N=ۋاقتىدا مۇشۇنداق=P=مۇشۇنداق ياخشى=A=ياخشى تەربىيلەرنى=N=تەربىيە سىڭدۈرسە=V=سىڭدۈر نېمىدىگەن=D=نېمىدىگەن ياخشى=A=ياخشى !=N=!
情感分数 = 12.139999	ئەسسالامۇ=N=ئەسسالامۇ ئەلەيكۇم=N=ئەلەيكۇم گۈدۈكداشلار=N=گۈدۈكداش گۈدۈك=N=گۈدۈك مىكرو=A=مىكرو بلوگىدىكى=N=بلوگ تورداشلار=N=تورداش مەن=Y=مەن سىلەرگە=P=سىلەر ياخشى=A=ياخشى بولغان=V=بول مىكرو=A=مىكرو خەت=N=خەت سالونىنى=N=سالون تەۋسىيە=N=تەۋسىيە قىلماقچى=V=قىل يۇرتىمىز=N=يۇرت مىكرو=A=مىكرو خەت=N=خەت سالونى=N=سالون يېڭىدىن=A=يېڭى ئېچىلىپتۇ=V=ئېچىل مەزمۇنلىرى=N=مەزمۇن شۇنداق=P=شۇنداق ياخشىكەن=A=ياخشى ھەر=P=ھەر كۈنى=N=كۈن يېڭى=A=يېڭى پايدىلىق=A=پايدىلىق بولغان=V=بول مەزمۇن=N=مەزمۇن يوللىنىدىكەن=V=يوللا 
情感分数 = 12.0	بەك=D=بەك پەيزى=A=پەيزى ئىشتىن=N=ئىش بىرنى=M=بىر پۈتتەردىم=V=پۈتتەر ئەمدى=D=ئەمدى خىزمەتلىرىم=N=خىزمەت تېخىمۇ=D=تېخىمۇ ئۈنۈملۈك=A=ئۈنۈملۈك بولغۇسى=V=بول ئىنشائاللا=E=ئىنشائاللا !=V=!
情感分数 = 12.0	دەرۋىشنىڭ=N=دەرۋىش ئەڭ=D=ئەڭ يېڭى=A=يېڭى ناخشىسى=N=ناخشا ئەسسىلامۇ=N=ئەسسىلامۇ ئەلەيكۇم=N=ئەلەيكۇم سۈزۈك=A=سۈزۈك نۇسخىسنى=N=نۇسخا كۆرسىڭىز=V=كۆر تېخىمۇ=D=تېخىمۇ بەك=D=بەك يېقىشلىق=A=يېقىشلىق  دەرۋىش=N=دەرۋىش بۇرۇنقى=A=بۇرۇنقى ئۇسلۇبىنى=N=ئۇسلۇب پۈتۈنلەي=D=پۈتۈنلەي ئۆزگەرتىپ=V=ئۆزگەر چوڭ=A=چوڭ سۈپەت=N=سۈپەت ئىشلەيدىغان=V=ئىشلە بوپتۇ=V=بو<بول
情感分数 = 12.0	دۆلەتلىك=A=دۆلەتلىك كۇتۇپخانا=N=كۇتۇپخانا بەك=D=بەك ئېسىل=A=ئېسىل ئوتتۇرا=A=ئوتتۇرا ئاسىيادىكى=N=ئاسىيا ئەڭ=D=ئەڭ كاتتا=A=كاتتا كۇتۇپخانا=N=كۇتۇپخانا
情感分数 = 12.0	ھاھا=N=ھاھا مەنمۇ=P=مەن بۈگۈن=N=بۈگۈن كېلىپ=V=كەل خېلى=D=خېلى جىق=A=جىق ئىشلارنى=N=ئىش تۈگىتىۋالدىم=V=تۈگەت ھەم=C=ھەم بەك=D=بەك پەيزى=A=پەيزى ئىشتىن=N=ئىش بىرنى=M=بىر پۈتتەردىم=V=پۈتتەر ئەمدى=D=ئەمدى خىزمەتلىرىم=N=خىزمەت تېخىمۇ=D=تېخىمۇ ئۈنۈملۈك=A=ئۈنۈملۈك بولغۇسى=V=بول ئىنشائاللا=E=ئىنشائاللا !=V=!
