情感分数 = -20.720001	نۇرغۇن=A=نۇرغۇن كىشىلەر=N=كىشى يۇقىرى=A=يۇقىرى قان=N=قان بېسىمنىڭ=N=بېسىم ئالدىنى=V=ئالدى ئېلىۋاتقان=V=ئال كۈنلەردە=N=كۈن تۆۋەن=A=تۆۋەن قان=N=قان بېسىمنىڭ=N=بېسىم دەردىنى=A=دەرد تارتماقتىمەن=N=تارت قان=N=قان ئازلىق=A=ئازلىق ۋە=C=ۋە تۆۋەن=A=تۆۋەن قان=N=قان بېسىمنىڭ=N=بېسىم دەستىدىن=A=دەستىدىن بېشىم=N=باش ئاغرىپ=V=ئاغرى تۇرىدۇ=V=تۇر
情感分数 = -19.865002	يېغىرىمنى=A=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=V=يوق تىلەمچى=N=تىلەمچى يوق=V=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = -16.720001	لالما=A=لالما ئىتلار=N=ئىت كەلدى=V=كەل ئەخلەت=A=ئەخلەت يۈندىلار=A=يۈندا ئارىسىدا=N=ئارا پۇرىدى=V=پۇرا لاغايلاپ=A=لاغايلاپ يۈردى=V=يۈر ئادەملەر=N=ئادەم شۇنچىلىك=P=شۇنچە بىغەم=A=بىغەم بوپ=V=بوپ كەتكەنكى=V=كەت ئۇلارنى=P=ئۇلار ھەيدىۋىتىش=V=ھەيدە خىيالىغىمۇ=N=خىيال كەلمىدى=V=كەل ھالا=T=ھالا بۈگۈنكە=N=بۈگۈن كۈنگە=N=كۈن كەلگەندە=V=كەل لالما=A=لالما ئىتلار=N=ئىت پاچاققا=N=پاچاق ئېسىلدى=V=ئېسىلدى
情感分数 = -16.720001	مۇشۇ=P=مۇشۇ پىلانلىق=A=پىلانلىق تۇغۇت=N=تۇغۇت خىزمىتىدە=N=خىزمەت ئىشلەيدىغانلارنىڭ=V=ئىشلە قىلمىشى=N=قىلمىش ئوچۇقتىن=A=ئوچۇق ئوچۇق=A=ئوچۇق ئىنسانىيەتكە=N=ئىنسانىيەت قىلغان=V=قىل بىر=M=بىر ئەشەددىي=A=ئەشەددىي جىنايەتتۇر=N=جىنايەت ئەڭ=D=ئەڭ ئەقەللىي=A=ئەقەللىي بولغان=V=بول ئەۋلاد=N=ئەۋلاد قالدۇرۇش=V=قال ھوقوقىمىزمۇ=N=ھوقوق چەكلىنىۋاتسا=V=چەكلەن ھەتتا=C=ھەتتا ئايلىق=A=ئايلىق بولغان=V=بول ھامىلىغىمۇ=N=ھامىلە ئىبلىس=A=ئىبلىس قولىنى=N=قول سۇنۇپ=V=سۇن تىخى=N=تىخى تۇغۇلماي=V=تۇغۇل تۇرۇپلا=V=تۇر ئۆلۈپ=V=ئۆل كىتىشىگە=V=كىتىش ئاساسلىق=A=ئاساس سەۋەبچى=N=سەۋەب بولۇۋاتىدۇ=V=بول
情感分数 = -16.295	يالغانچىلىققا=A=يالغان بانا=N=بانا سەۋەپ=N=سەۋەپ كۆرسىتىپ=V=كۆر ئاقلاش=V=ئاقلا ئىدىيىسى=N=ئىدىيە يوقالمىغۇچە=V=يوقال يالغانچىلىقنىڭ=A=يالغان تۈگىمىكى=V=تۈگەش تەس=A=تەس ئومۇمى=A=ئومۇم جەمىيەتتە=N=جەمىيەت چۈشكۈنلۈكنىڭ=A=چۈشكۈن چىرىكلىكنىڭ=A=چىرىكلىك ئەۋىج=N=ئەۋىج ئېلىشى=V=ئال ۋە=C=ۋە بەخىتسىزلىك=A=بەخىتسىز خاتىرجەمسىزلىك=A=خاتىرجەمسىز ھىسسىياتىنىڭ=N=ھىسسىيات كۆپىيىپ=A=كۆپ كىتىشىنىڭ=V=كەت ئەڭ=D=ئەڭ چوڭ=A=چوڭ سەۋەبى=N=سەۋەب يەنىلا=D=يەنە يالغانچىلىق=A=يالغان ۋە=C=ۋە سەمىمىيەتسىزلىككە=A=سەمىمىيەتسىز تاقىلىدۇ=V=تاقىلش
情感分数 = -15.290001	ئېشەككە=N=ئېشەك كۈچۈڭ=N=كۈچ يەتمىسە=V=يەت ئۇر=V=ئۇر توقماقنى=N=توقماق قىلساق=V=قىل بۇلمايدۇ=V=بول قېرىنداشلار=N=قېرىنداش بۇ=P=بۇ بەك=D=بەك شەخسىيەتچىلىك=A=شەخسىيەتچىلىك قىلغانلىق=V=قىل مەدىنيەتنى=N=مەدىنيەت قۇغداشنى=V=قۇغداش ئاشۇ=P=ئاشۇ ئاجىز=A=ئاجىز بىچارە=A=بىچارە بىر=M=بىر توپقا=N=توپ تاپشۇرۇش=V=تاپشۇر ھە=T=ھە دىسە=V=دە ئۇلاردىن=P=ئۇلار ئاغرىنىش=A=ئاغرىنىش دەل=D=دەل بىزدىكى=P=بىز قالاقلىق=A=قالاقلىق
情感分数 = -15.150001	مىللەت=N=مىللەت گەۋدىسىدە=N=گەۋدە مەھكۇملۇق=A=مەھكۇملۇق روھسىزلىق=A=روھسىزلىق چۈشكۈنلۈك=A=چۈشكۈن نادانلىق=A=نادان قاششاخلىق=A=قاششاق تەپرىقىچىلىك=A=تەپرىق قانائەتكويلۇق=A=قانائەت شۈكرىچىلىك=A=شۈكرى ھەسەتخورلۇق=A=ھەسەت خۇشامەتچىلىك=A=خۇشامەت زىناخورلۇق=A=زىناخور ئىللەتلىرى=N=ئىللەت ئېغىر=A=ئېغىر
情感分数 = -15.139999	نىمە=P=نىمە دەپ=V=دە تىللىشىمنى=N=تىللاش بىلەلمەيلا=V=بىل قېلىۋاتىمەن=V=قال شەرەپسىز=A=شەرەپسىز نۇمۇسسىز=A=نۇمۇس لەقۋا=A=لەقۋا تاز=A=تاز ماڭقا=A=ماڭقا پىت=A=پىت ئۈچەي=N=ئۈچەي ئېشەك=N=ئېشەك لاۋزا=A=لاۋزا
情感分数 = -14.860001	مېنىڭ=P=مەن ئاتا=N=ئاتا ئانامنىڭ=N=ئانا ئۈستىدىن=D=ئۈستى پىتنىلەر=A=پىتنە تارقاتقان=V=تارقات ئاغزىڭغا=N=ئاغزى قۇم=N=قۇم تۇپراقلار=N=تۇپراق تىقىلسۇن=V=تىق قىلغان=V=قىل ھەربىر=P=ھەربىر يالغان=A=يالغان سۆزۈڭ=N=سۆز ئۈچۈن=C=ئۈچۈن يىلان=N=يىلان چايانلار=N=چايان نەشتەر=N=نەشتەر ئۇرسۇن=V=ئۇر تاپقان=V=تاپ ھارام=A=ھارام مال=N=مال دۇنيارىڭ=N=دۇنيا ئاخىرەتتە=N=ئاخىرەت پوققا=N=پوق ئەسقاتمايدۇ=V=ئەسقات سېنى=P=سەن كۆيدۈرىدىغان=V=كۆي دوزاخ=A=دوزاخ ئوتىغا=N=ئوت تۇتۇرۇق=N=تۇتۇرۇق بولىدۇ=V=بول خالاس=T=خالاس
情感分数 = -14.860001	توررېس=N=توررېس بىلەن=R=بىلەن ۋىللا=N=ۋىللا رائۇلدىن=N=رائۇل ياخشى=A=ياخشى ئوينىغاچقا=V=ئوينا ئالمايدۇ=V=ئال بىراق=C=بىراق مۇشۇنىڭ=P=مۇشۇ بىلەن=R=بىلەن رائۇلنى=N=رائۇل ناچار=A=ناچار ئوينايدۇ=V=ئوينا دېسەڭلار=V=دە قارىغۇلارچە=A=قارىغۇلارچە باھا=N=باھا بەرگەن=V=بەر بولىسىلەر=V=بول رائۇل=N=رائۇل ناچار=A=ناچار ئوينىسا=V=ئوينا ئۇنىڭدىن=P=ئۇنىڭ ئەڭ=D=ئەڭ ئاۋۋال=D=ئاۋۋال مادرىد=N=مادرىد مەستانىلىرى=N=مەستانە زېرىكىدۇ=V=زېرىكىش
情感分数 = -14.150002	مۇنبەر=N=مۇنبەر كاتتىلىرى=A=كاتتا ما=N=ما يەدە=N=يە بىر=M=بىر يامانمۇ=A=يامان ئەزۋەيلەپ=A=ئەزۋەيلەپ كەتتى=V=كەت مۇشۇنداق=P=مۇشۇنداق ئوتقۇيرۇق=A=ئوتقۇيرۇق نىمىلەنى=N=نىمە چەكلىمەي=V=چەكلىمە نىمىش=P=نىمىش قىلسىلەر=V=قىل
